 d,LAI,GP,NP,N_L,N_S,N_R,RaL,RaR,RhF,Rhs1,Rhs2,Rhs3,NE,bmR,bmL,bmS
     1.0000,     0.0897,    -0.0015,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1073,     0.2625,     0.0803,     0.0347,    -0.4848,   238.8684,     7.4759,     1.6421,
     2.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1084,     0.2656,     0.0813,     0.0351,    -0.4904,   237.6472,     7.4759,     1.6421,
     3.0000,     0.0897,    -0.0012,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1062,     0.2605,     0.0797,     0.0344,    -0.4809,   236.4324,     7.4759,     1.6421,
     4.0000,     0.0897,    -0.0012,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1052,     0.2583,     0.0790,     0.0341,    -0.4766,   235.2240,     7.4759,     1.6421,
     5.0000,     0.0897,    -0.0011,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1076,     0.2644,     0.0809,     0.0349,    -0.4879,   234.0219,     7.4759,     1.6421,
     6.0000,     0.0897,    -0.0011,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1054,     0.2593,     0.0793,     0.0342,    -0.4782,   232.8260,     7.4759,     1.6421,
     7.0000,     0.0897,    -0.0011,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1047,     0.2578,     0.0789,     0.0341,    -0.4755,   231.6364,     7.4759,     1.6421,
     8.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1056,     0.2603,     0.0796,     0.0344,    -0.4799,   230.4530,     7.4759,     1.6421,
     9.0000,     0.0897,    -0.0025,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0001,    -0.0001,     0.1065,     0.2627,     0.0804,     0.0347,    -0.4842,   229.2757,     7.4759,     1.6421,
    10.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1058,     0.2614,     0.0800,     0.0345,    -0.4818,   228.1046,     7.4759,     1.6421,
    11.0000,     0.0897,    -0.0016,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1053,     0.2604,     0.0797,     0.0344,    -0.4797,   226.9396,     7.4759,     1.6421,
    12.0000,     0.0897,    -0.0019,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1055,     0.2613,     0.0799,     0.0345,    -0.4812,   225.7807,     7.4759,     1.6421,
    13.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1053,     0.2610,     0.0799,     0.0345,    -0.4807,   224.6278,     7.4759,     1.6421,
    14.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1037,     0.2573,     0.0787,     0.0340,    -0.4737,   223.4809,     7.4759,     1.6421,
    15.0000,     0.0897,    -0.0017,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1021,     0.2536,     0.0776,     0.0335,    -0.4668,   222.3400,     7.4759,     1.6421,
    16.0000,     0.0897,    -0.0013,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1027,     0.2553,     0.0781,     0.0337,    -0.4698,   221.2051,     7.4759,     1.6421,
    17.0000,     0.0897,    -0.0008,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1014,     0.2524,     0.0772,     0.0333,    -0.4643,   220.0760,     7.4759,     1.6421,
    18.0000,     0.0897,    -0.0009,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1026,     0.2556,     0.0782,     0.0338,    -0.4701,   218.9528,     7.4759,     1.6421,
    19.0000,     0.0897,    -0.0016,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1019,     0.2540,     0.0777,     0.0335,    -0.4672,   217.8355,     7.4759,     1.6421,
    20.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1011,     0.2523,     0.0772,     0.0333,    -0.4639,   216.7240,     7.4759,     1.6421,
    21.0000,     0.0897,    -0.0021,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1011,     0.2526,     0.0773,     0.0334,    -0.4643,   215.6183,     7.4759,     1.6421,
    22.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1007,     0.2519,     0.0771,     0.0333,    -0.4630,   214.5183,     7.4759,     1.6421,
    23.0000,     0.0897,    -0.0011,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1064,     0.2662,     0.0814,     0.0352,    -0.4892,   213.4241,     7.4759,     1.6421,
    24.0000,     0.0897,    -0.0014,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1056,     0.2645,     0.0809,     0.0349,    -0.4859,   212.3356,     7.4759,     1.6421,
    25.0000,     0.0897,    -0.0023,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1051,     0.2637,     0.0807,     0.0348,    -0.4844,   211.2527,     7.4759,     1.6421,
    26.0000,     0.0897,    -0.0013,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1049,     0.2633,     0.0806,     0.0348,    -0.4835,   210.1754,     7.4759,     1.6421,
    27.0000,     0.0897,    -0.0008,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1027,     0.2581,     0.0790,     0.0341,    -0.4738,   209.1038,     7.4759,     1.6421,
    28.0000,     0.0897,    -0.0011,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1032,     0.2596,     0.0794,     0.0343,    -0.4765,   208.0377,     7.4759,     1.6421,
    29.0000,     0.0897,    -0.0007,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1040,     0.2620,     0.0801,     0.0346,    -0.4807,   206.9772,     7.4759,     1.6421,
    30.0000,     0.0897,    -0.0005,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1045,     0.2634,     0.0806,     0.0348,    -0.4832,   205.9222,     7.4759,     1.6421,
    31.0000,     0.0897,    -0.0009,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1039,     0.2623,     0.0802,     0.0346,    -0.4811,   204.8727,     7.4759,     1.6421,
    32.0000,     0.0897,    -0.0011,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1038,     0.2622,     0.0802,     0.0346,    -0.4808,   203.8287,     7.4759,     1.6421,
    33.0000,     0.0897,    -0.0013,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1034,     0.2615,     0.0800,     0.0345,    -0.4793,   202.7900,     7.4759,     1.6421,
    34.0000,     0.0897,    -0.0019,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1035,     0.2621,     0.0802,     0.0346,    -0.4804,   201.7568,     7.4759,     1.6421,
    35.0000,     0.0897,    -0.0016,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1025,     0.2599,     0.0795,     0.0343,    -0.4763,   200.7290,     7.4759,     1.6421,
    36.0000,     0.0897,    -0.0011,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1046,     0.2653,     0.0812,     0.0350,    -0.4861,   199.7064,     7.4759,     1.6421,
    37.0000,     0.0897,    -0.0010,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1052,     0.2672,     0.0817,     0.0353,    -0.4894,   198.6892,     7.4759,     1.6421,
    38.0000,     0.0897,    -0.0013,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1046,     0.2659,     0.0813,     0.0351,    -0.4870,   197.6773,     7.4759,     1.6421,
    39.0000,     0.0897,    -0.0017,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1055,     0.2684,     0.0821,     0.0354,    -0.4914,   196.6707,     7.4759,     1.6421,
    40.0000,     0.0897,    -0.0012,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1045,     0.2662,     0.0814,     0.0351,    -0.4872,   195.6693,     7.4759,     1.6421,
    41.0000,     0.0897,    -0.0020,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1029,     0.2625,     0.0803,     0.0347,    -0.4804,   194.6730,     7.4759,     1.6421,
    42.0000,     0.0897,    -0.0016,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1024,     0.2616,     0.0800,     0.0345,    -0.4786,   193.6819,     7.4759,     1.6421,
    43.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1024,     0.2617,     0.0800,     0.0345,    -0.4786,   192.6961,     7.4759,     1.6421,
    44.0000,     0.0897,    -0.0021,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1039,     0.2658,     0.0813,     0.0351,    -0.4861,   191.7153,     7.4759,     1.6421,
    45.0000,     0.0897,    -0.0025,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0001,    -0.0001,     0.1053,     0.2697,     0.0825,     0.0356,    -0.4932,   190.7396,     7.4759,     1.6421,
    46.0000,     0.0897,    -0.0017,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1043,     0.2675,     0.0818,     0.0353,    -0.4890,   189.7690,     7.4759,     1.6421,
    47.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1018,     0.2613,     0.0799,     0.0345,    -0.4774,   188.8034,     7.4759,     1.6421,
    48.0000,     0.0897,    -0.0021,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1015,     0.2608,     0.0798,     0.0344,    -0.4764,   187.8428,     7.4759,     1.6421,
    49.0000,     0.0897,    -0.0019,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1021,     0.2625,     0.0803,     0.0347,    -0.4796,   186.8872,     7.4759,     1.6421,
    50.0000,     0.0897,    -0.0027,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0001,    -0.0001,     0.1097,     0.2824,     0.0864,     0.0373,    -0.5158,   185.9366,     7.4759,     1.6421,
    51.0000,     0.0897,    -0.0033,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0001,    -0.0001,     0.1114,     0.2872,     0.0878,     0.0379,    -0.5243,   184.9909,     7.4759,     1.6421,
    52.0000,     0.0897,    -0.0027,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0001,    -0.0001,     0.1109,     0.2863,     0.0876,     0.0378,    -0.5225,   184.0501,     7.4759,     1.6421,
    53.0000,     0.0897,    -0.0023,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1096,     0.2831,     0.0866,     0.0374,    -0.5166,   183.1142,     7.4759,     1.6421,
    54.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1094,     0.2829,     0.0865,     0.0373,    -0.5161,   182.1831,     7.4759,     1.6421,
    55.0000,     0.0897,    -0.0021,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1077,     0.2788,     0.0853,     0.0368,    -0.5086,   181.2569,     7.4759,     1.6421,
    56.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1048,     0.2715,     0.0830,     0.0358,    -0.4952,   180.3354,     7.4759,     1.6421,
    57.0000,     0.0897,    -0.0019,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1020,     0.2647,     0.0810,     0.0349,    -0.4827,   179.4188,     7.4759,     1.6421,
    58.0000,     0.0897,    -0.0016,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1011,     0.2627,     0.0804,     0.0347,    -0.4789,   178.5069,     7.4759,     1.6421,
    59.0000,     0.0897,    -0.0017,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.0996,     0.2591,     0.0792,     0.0342,    -0.4721,   177.5997,     7.4759,     1.6421,
    60.0000,     0.0897,    -0.0020,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1019,     0.2651,     0.0811,     0.0350,    -0.4830,   176.6972,     7.4759,     1.6421,
    61.0000,     0.0897,    -0.0015,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1014,     0.2642,     0.0808,     0.0349,    -0.4812,   175.7994,     7.4759,     1.6421,
    62.0000,     0.0897,    -0.0007,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1036,     0.2702,     0.0827,     0.0357,    -0.4922,   174.9063,     7.4759,     1.6421,
    63.0000,     0.0897,    -0.0016,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1060,     0.2767,     0.0846,     0.0365,    -0.5038,   174.0178,     7.4759,     1.6421,
    64.0000,     0.0897,    -0.0016,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1057,     0.2763,     0.0845,     0.0365,    -0.5029,   173.1338,     7.4759,     1.6421,
    65.0000,     0.0897,    -0.0021,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1080,     0.2826,     0.0864,     0.0373,    -0.5142,   172.2545,     7.4759,     1.6421,
    66.0000,     0.0916,    -0.0028,     0.1352,     0.0716,     0.0000,     0.0636,    -0.0001,    -0.0001,     0.1115,     0.2919,     0.0893,     0.0385,    -0.3960,   171.5211,     7.6350,     1.6421,
    67.0000,     0.0925,    -0.0028,     0.0637,     0.0335,     0.0000,     0.0302,    -0.0001,    -0.0001,     0.1116,     0.2925,     0.0895,     0.0386,    -0.4685,   170.7171,     7.7094,     1.6421,
    68.0000,     0.0925,    -0.0020,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1082,     0.2841,     0.0869,     0.0375,    -0.5166,   169.8503,     7.7094,     1.6421,
    69.0000,     0.0925,    -0.0020,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1046,     0.2750,     0.0841,     0.0363,    -0.5000,   168.9880,     7.7094,     1.6421,
    70.0000,     0.0925,    -0.0026,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0001,    -0.0001,     0.1067,     0.2808,     0.0859,     0.0370,    -0.5104,   168.1301,     7.7094,     1.6421,
    71.0000,     0.0940,    -0.0032,     0.1096,     0.0563,     0.0000,     0.0533,    -0.0001,    -0.0001,     0.1107,     0.2916,     0.0892,     0.0385,    -0.4204,   167.3951,     7.8346,     1.6421,
    72.0000,     0.0944,    -0.0029,     0.0310,     0.0159,     0.0000,     0.0151,    -0.0001,    -0.0001,     0.1116,     0.2943,     0.0900,     0.0388,    -0.5038,   166.5791,     7.8698,     1.6421,
    73.0000,     0.0962,    -0.0032,     0.1322,     0.0674,     0.0000,     0.0649,    -0.0001,    -0.0001,     0.1131,     0.2985,     0.0913,     0.0394,    -0.4100,   165.8778,     8.0195,     1.6421,
    74.0000,     0.0962,    -0.0022,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1105,     0.2921,     0.0893,     0.0385,    -0.5305,   165.0360,     8.0195,     1.6421,
    75.0000,     0.0962,    -0.0017,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1078,     0.2854,     0.0873,     0.0376,    -0.5181,   164.1986,     8.0195,     1.6421,
    76.0000,     0.0962,    -0.0021,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1074,     0.2844,     0.0870,     0.0375,    -0.5163,   163.3655,     8.0195,     1.6421,
    77.0000,     0.0962,    -0.0022,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1222,     0.3242,     0.0991,     0.0428,    -0.5884,   162.5367,     8.0195,     1.6421,
    78.0000,     0.0962,    -0.0022,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1244,     0.3302,     0.1010,     0.0436,    -0.5991,   161.7122,     8.0195,     1.6421,
    79.0000,     0.0973,    -0.0030,     0.0720,     0.0399,     0.0000,     0.0320,    -0.0001,    -0.0001,     0.1242,     0.3303,     0.1010,     0.0436,    -0.5272,   160.9631,     8.1082,     1.6421,
    80.0000,     0.0973,    -0.0030,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0001,    -0.0001,     0.1232,     0.3279,     0.1003,     0.0432,    -0.5946,   160.1467,     8.1082,     1.6421,
    81.0000,     0.0973,    -0.0023,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0001,    -0.0001,     0.1190,     0.3171,     0.0970,     0.0418,    -0.5748,   159.3346,     8.1082,     1.6421,
    82.0000,     0.0994,    -0.0032,     0.1446,     0.0780,     0.0000,     0.0666,    -0.0001,    -0.0001,     0.1213,     0.3239,     0.0990,     0.0427,    -0.4423,   158.6747,     8.2816,     1.6421,
    83.0000,     0.1043,    -0.0038,     0.3461,     0.1850,     0.0000,     0.1611,    -0.0001,    -0.0001,     0.1259,     0.3364,     0.1029,     0.0444,    -0.2635,   158.2282,     8.5771,     1.6202,
    84.0000,     0.1029,    -0.0027,     0.0000,     0.0000,     0.0000,     0.0000,     0.0314,     0.2900,     0.1215,     0.3250,     0.0994,     0.0429,    -0.5888,   157.4260,     6.8303,     1.2903,
    85.0000,     0.0820,    -0.0028,     0.0000,     0.0000,     0.0000,     0.0000,     0.0264,     0.3047,     0.1191,     0.3180,     0.0972,     0.0419,    -0.5762,   156.6278,     6.8303,     1.2903,
    86.0000,     0.0822,    -0.0023,     0.0154,     0.0081,     0.0000,     0.0073,    -0.0000,    -0.0000,     0.1200,     0.3210,     0.0982,     0.0423,    -0.5661,   155.8500,     6.8484,     1.2903,
    87.0000,     0.0825,    -0.0023,     0.0243,     0.0128,     0.0000,     0.0115,    -0.0001,    -0.0001,     0.1199,     0.3211,     0.0982,     0.0423,    -0.5573,   155.0856,     6.8768,     1.2903,
    88.0000,     0.0826,    -0.0025,     0.0090,     0.0047,     0.0000,     0.0043,    -0.0001,    -0.0001,     0.1207,     0.3235,     0.0989,     0.0427,    -0.5767,   154.3091,     6.8873,     1.2903,
    89.0000,     0.0826,    -0.0024,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0001,    -0.0001,     0.1201,     0.3224,     0.0986,     0.0425,    -0.5836,   153.5271,     6.8873,     1.2903,
    90.0000,     0.0841,    -0.0030,     0.1035,     0.0537,     0.0000,     0.0498,    -0.0001,    -0.0001,     0.1204,     0.3235,     0.0989,     0.0427,    -0.4819,   152.8598,     7.0067,     1.2903,
    91.0000,     0.0866,    -0.0031,     0.1801,     0.0930,     0.0000,     0.0870,    -0.0001,    -0.0001,     0.1204,     0.3240,     0.0990,     0.0427,    -0.4060,   152.2787,     7.2134,     1.2903,
    92.0000,     0.0917,    -0.0039,     0.3763,     0.1936,     0.0000,     0.1827,    -0.0001,    -0.0001,     0.1283,     0.3456,     0.1057,     0.0456,    -0.2487,   151.9133,     7.6436,     1.2903,
    93.0000,     0.0951,    -0.0041,     0.2475,     0.1268,     0.0000,     0.1207,    -0.0001,    -0.0001,     0.1306,     0.3522,     0.1077,     0.0464,    -0.3894,   151.4117,     7.9254,     1.2903,
    94.0000,     0.0988,    -0.0041,     0.2711,     0.1384,     0.0000,     0.1327,    -0.0001,    -0.0001,     0.1335,     0.3607,     0.1103,     0.0476,    -0.3810,   150.9395,     8.2331,     1.2903,
    95.0000,     0.1049,    -0.0051,     0.4476,     0.2277,     0.0000,     0.2199,    -0.0001,    -0.0001,     0.1365,     0.3692,     0.1129,     0.0487,    -0.2196,   150.6635,     8.7071,     1.2855,
    96.0000,     0.1098,    -0.0049,     0.3895,     0.1976,     0.0000,     0.1919,     0.0500,     0.4329,     0.1381,     0.3740,     0.1143,     0.0493,    -0.2862,   150.3266,     9.1104,     1.2805,
    97.0000,     0.1122,    -0.0043,     0.2108,     0.1067,     0.0000,     0.1041,     0.0456,     0.3760,     0.1335,     0.3621,     0.1107,     0.0477,    -0.4433,   149.7964,     9.0711,     1.2426,
    98.0000,     0.1102,    -0.0037,     0.1028,     0.0520,     0.0000,     0.0509,     0.0421,     0.3476,     0.1303,     0.3539,     0.1082,     0.0467,    -0.5363,   149.1505,     8.3654,     1.1316,
    99.0000,     0.1042,    -0.0046,     0.2831,     0.1429,     0.0000,     0.1402,     0.0532,     0.4741,     0.1347,     0.3657,     0.1118,     0.0482,    -0.3773,   148.7066,     8.6015,     1.1210,
   100.0000,     0.1075,    -0.0038,     0.3200,     0.1613,     0.0000,     0.1587,     0.0507,     0.4379,     0.1376,     0.3741,     0.1144,     0.0493,    -0.3554,   148.3061,     8.9136,     1.1152,
   101.0000,     0.1101,    -0.0047,     0.2302,     0.1158,     0.0000,     0.1145,     0.0484,     0.4030,     0.1355,     0.3689,     0.1128,     0.0486,    -0.4355,   147.8092,     9.0146,     1.0962,
   102.0000,     0.1102,    -0.0039,     0.1414,     0.0753,     0.0000,     0.0661,     0.0442,     0.3620,     0.1375,     0.3748,     0.1146,     0.0494,    -0.5349,   147.2075,     8.5761,     1.0238,
   103.0000,     0.1067,    -0.0037,     0.2500,     0.1409,     0.0000,     0.1091,     0.0483,     0.4144,     0.1495,     0.4079,     0.1247,     0.0538,    -0.4858,   146.7045,     8.6626,     0.9977,
   104.0000,     0.1104,    -0.0043,     0.4317,     0.2407,     0.0000,     0.1909,     0.0598,     0.5067,     0.1564,     0.4271,     0.1306,     0.0563,    -0.3387,   146.3858,     9.1636,     0.9940,
   105.0000,     0.1182,    -0.0060,     0.5633,     0.3101,     0.0000,     0.2531,     0.0657,     0.5244,     0.1654,     0.4524,     0.1383,     0.0596,    -0.2525,   146.2069,     9.8168,     0.9904,
   106.0000,     0.1240,    -0.0059,     0.4230,     0.2311,     0.0000,     0.1918,     0.0651,     0.4847,     0.1657,     0.4538,     0.1387,     0.0598,    -0.3951,   145.8927,    10.2927,     0.9868,
   107.0000,     0.1289,    -0.0059,     0.3724,     0.2012,     0.0000,     0.1712,     0.0693,     0.4908,     0.1639,     0.4498,     0.1375,     0.0593,    -0.4380,   145.5343,    10.7003,     0.9832,
   108.0000,     0.1360,    -0.0071,     0.5332,     0.2854,     0.0000,     0.2478,     0.0811,     0.5516,     0.1704,     0.4683,     0.1431,     0.0617,    -0.3103,   145.3478,    11.2932,     0.9796,
   109.0000,     0.1438,    -0.0077,     0.5810,     0.3103,     0.0000,     0.2706,     0.0921,     0.5928,     0.1814,     0.4995,     0.1527,     0.0658,    -0.3185,   145.2131,    11.9390,     0.9760,
   110.0000,     0.1497,    -0.0081,     0.4548,     0.2408,     0.0000,     0.2139,     0.0874,     0.5314,     0.1807,     0.4985,     0.1524,     0.0657,    -0.4426,   144.9530,    12.4286,     0.9724,
   111.0000,     0.1546,    -0.0078,     0.3889,     0.2048,     0.0000,     0.1840,     0.0933,     0.5441,     0.1823,     0.5038,     0.1540,     0.0664,    -0.5177,   144.6279,    12.8368,     0.9689,
   112.0000,     0.1587,    -0.0085,     0.3356,     0.1753,     0.0000,     0.1603,     0.0893,     0.5032,     0.1730,     0.4790,     0.1464,     0.0631,    -0.5259,   144.2516,    13.1780,     0.9653,
   113.0000,     0.1610,    -0.0066,     0.2099,     0.1091,     0.0000,     0.1008,     0.0712,     0.3898,     0.1651,     0.4579,     0.1399,     0.0603,    -0.6133,   143.7451,    13.3230,     0.9583,
   114.0000,     0.1630,    -0.0084,     0.2286,     0.1179,     0.0000,     0.1107,     0.0859,     0.4633,     0.1659,     0.4609,     0.1409,     0.0607,    -0.5998,   143.2630,    13.5256,     0.9541,
   115.0000,     0.1651,    -0.0073,     0.1913,     0.1050,     0.0000,     0.0864,     0.0839,     0.4442,     0.1740,     0.4841,     0.1479,     0.0638,    -0.6785,   142.7294,    13.5926,     0.9426,
   116.0000,     0.1662,    -0.0048,     0.2094,     0.1157,     0.0000,     0.0936,     0.0854,     0.4483,     0.1731,     0.4825,     0.1474,     0.0636,    -0.6572,   142.2148,    13.7458,     0.9355,
   117.0000,     0.1703,    -0.0067,     0.3627,     0.1991,     0.0000,     0.1636,     0.1236,     0.6393,     0.1832,     0.5114,     0.1563,     0.0674,    -0.5555,   141.8582,    14.1366,     0.9321,
   118.0000,     0.1744,    -0.0078,     0.3295,     0.1773,     0.0000,     0.1521,     0.1088,     0.5457,     0.1920,     0.5369,     0.1641,     0.0707,    -0.6342,   141.4779,    14.4776,     0.9287,
   119.0000,     0.1772,    -0.0056,     0.2452,     0.1306,     0.0000,     0.1146,     0.0953,     0.4656,     0.1870,     0.5241,     0.1601,     0.0691,    -0.6950,   141.0162,    14.7139,     0.9253,
   120.0000,     0.1803,     0.1782,     0.2623,     0.1385,     0.0000,     0.1239,     0.0986,     0.4724,     0.1898,     0.5328,     0.1628,     0.0702,    -0.6932,   140.5774,    14.9667,     0.9219,
   121.0000,     0.1830,     0.3044,     0.2423,     0.1269,     0.0000,     0.1154,     0.0918,     0.4310,     0.1863,     0.5240,     0.1601,     0.0690,    -0.6970,   140.1221,    15.1931,     0.9186,
