 d,LAI,GP,NP,N_L,N_S,N_R,RaL,RaR,RhF,Rhs1,Rhs2,Rhs3,NE,bmR,bmL,bmS
   122.0000,     0.2346,     0.5603,     2.0237,     1.9610,     0.0000,     0.0628,     0.0669,     0.3084,     0.1760,     0.4962,     0.1516,     0.0654,     1.1345,   139.5521,    19.2254,     0.9033,
   123.0000,     0.2840,     0.7905,     2.0963,     1.9989,     0.0000,     0.0974,     0.0952,     0.3455,     0.1689,     0.4768,     0.1457,     0.0628,     1.2421,   139.0620,    23.5188,     0.8976,
   124.0000,     0.3384,     0.6547,     2.3028,     2.1062,     0.0000,     0.1966,     0.1466,     0.4334,     0.1799,     0.5086,     0.1554,     0.0670,     1.3919,   138.7949,    28.0963,     0.8943,
   125.0000,     0.3947,     1.0308,     2.4054,     2.1594,     0.0000,     0.2459,     0.1774,     0.4383,     0.1874,     0.5306,     0.1621,     0.0699,     1.4554,   138.6388,    32.7748,     0.8911,
   126.0000,     0.4545,     0.8532,     2.6700,     2.2953,     0.0000,     0.3747,     0.2465,     0.5214,     0.2115,     0.5999,     0.1833,     0.0790,     1.5963,   138.7695,    37.7372,     0.8878,
   127.0000,     0.5146,     1.6085,     2.7130,     2.3161,     0.0000,     0.3969,     0.2313,     0.4252,     0.2140,     0.6084,     0.1859,     0.0801,     1.6247,   138.9489,    42.7275,     0.8846,
   128.0000,     0.5765,     1.3767,     2.8604,     2.3898,     0.0000,     0.4706,     0.2990,     0.4862,     0.2283,     0.6505,     0.1987,     0.0857,     1.6971,   139.2911,    47.8627,     0.8813,
   129.0000,     0.6361,     1.6107,     2.7023,     2.3149,     0.0000,     0.3873,     0.2593,     0.3774,     0.2389,     0.6821,     0.2084,     0.0899,     1.4830,   139.4464,    52.8134,     0.8781,
   130.0000,     0.6991,     2.0756,     2.9668,     2.4520,     0.0000,     0.5148,     0.3241,     0.4279,     0.2483,     0.7105,     0.2171,     0.0936,     1.6974,   139.8841,    58.0495,     0.8749,
   131.0000,     0.7632,     2.1621,     3.0637,     2.4980,     0.0000,     0.5657,     0.3527,     0.4249,     0.2560,     0.7342,     0.2243,     0.0967,     1.7525,   140.4326,    63.3683,     0.8717,
   132.0000,     0.8261,     2.7215,     2.9978,     2.4618,     0.0000,     0.5360,     0.3605,     0.3994,     0.2512,     0.7224,     0.2206,     0.0951,     1.7085,   140.9122,    68.5876,     0.8685,
   133.0000,     0.8859,     2.6118,     2.7965,     2.3553,     0.0000,     0.4412,     0.3600,     0.3698,     0.2342,     0.6750,     0.2062,     0.0889,     1.5922,   141.1785,    73.5520,     0.8654,
   134.0000,     0.9444,     2.1699,     2.7247,     2.3161,     0.0000,     0.4086,     0.3621,     0.3475,     0.2236,     0.6459,     0.1973,     0.0851,     1.5728,   141.3709,    78.4114,     0.8622,
   135.0000,     1.0053,     2.4657,     2.9228,     2.4139,     0.0000,     0.5089,     0.4432,     0.3995,     0.2181,     0.6313,     0.1928,     0.0831,     1.7974,   141.7851,    83.4697,     0.8590,
   136.0000,     1.0704,     2.5213,     3.2583,     2.5800,     0.0000,     0.6783,     0.5672,     0.4817,     0.2360,     0.6844,     0.2090,     0.0901,     2.0388,   142.5738,    88.8771,     0.8559,
   137.0000,     1.1450,     3.3249,     3.7485,     2.9410,     0.0000,     0.8075,     0.5629,     0.4515,     0.2684,     0.7801,     0.2382,     0.1027,     2.3589,   143.6453,    95.0640,     0.8528,
   138.0000,     1.2191,     2.3189,     3.7773,     2.9368,     0.0000,     0.8405,     0.6550,     0.4949,     0.2741,     0.7984,     0.2438,     0.1051,     2.3559,   144.7844,   101.2191,     0.8497,
   139.0000,     1.2910,     3.4838,     3.6710,     2.8645,     0.0000,     0.8065,     0.6143,     0.4393,     0.2749,     0.8027,     0.2451,     0.1057,     2.2425,   145.8420,   107.1916,     0.8466,
   140.0000,     1.3627,     3.1024,     3.6987,     2.8656,     0.0000,     0.8331,     0.6640,     0.4517,     0.2623,     0.7678,     0.2345,     0.1011,     2.3331,   146.9533,   113.1448,     0.8435,
   141.0000,     1.4334,     3.3706,     3.6677,     2.8364,     0.0000,     0.8314,     0.6736,     0.4374,     0.2577,     0.7561,     0.2309,     0.0996,     2.3235,   148.0548,   119.0115,     0.8404,
   142.0000,     1.5079,     3.2275,     3.9867,     2.9912,     0.0000,     0.9955,     0.8382,     0.5214,     0.2607,     0.7665,     0.2340,     0.1009,     2.6246,   149.5153,   125.1995,     0.8373,
   143.0000,     1.5834,     3.0341,     4.0966,     3.0373,     0.0000,     1.0593,     1.0147,     0.6059,     0.2843,     0.8377,     0.2558,     0.1103,     2.6086,   151.1098,   131.4670,     0.8343,
   144.0000,     1.6584,     3.5544,     4.0323,     3.0287,     0.0000,     1.0036,     0.9091,     0.5224,     0.3156,     0.9323,     0.2847,     0.1228,     2.3769,   152.5721,   137.6926,     0.8312,
   145.0000,     1.7276,     7.8079,     3.6544,     2.8234,     0.0000,     0.8311,     0.5781,     0.3203,     0.2869,     0.8498,     0.2595,     0.1119,     2.1463,   153.6433,   143.4409,     0.8282,
   146.0000,     1.8011,     3.4152,     3.9990,     2.9920,     0.0000,     1.0070,     1.0557,     0.5654,     0.2809,     0.8340,     0.2546,     0.1098,     2.5197,   155.1000,   149.5415,     0.8252,
   147.0000,     1.8301,     5.6674,     2.4369,     1.3344,     0.0000,     1.1025,     0.9320,     0.4833,     0.2952,     0.8785,     0.2682,     0.1157,     0.8793,   156.7612,   151.9496,     0.8221,
   148.0000,     1.8655,     3.3594,     2.7758,     1.5784,     0.0000,     1.1975,     1.1717,     0.6044,     0.2958,     0.8825,     0.2694,     0.1162,     1.2119,   158.6247,   154.8893,     0.8191,
   149.0000,     1.9071,     4.4132,     3.2631,     1.8172,     0.0000,     1.4460,     1.2058,     0.6175,     0.3084,     0.9225,     0.2816,     0.1214,     1.6291,   161.0306,   158.3469,     0.8161,
   150.0000,     1.9422,     3.3581,     2.9008,     1.5772,     0.0000,     1.3236,     1.4470,     0.7358,     0.3330,     0.9985,     0.3048,     0.1315,     1.1330,   163.1520,   161.2606,     0.8132,
   151.0000,     1.9674,     4.2703,     2.2699,     1.2116,     0.0000,     1.0582,     0.9817,     0.4966,     0.3345,     1.0059,     0.3070,     0.1324,     0.4900,   164.6726,   163.3542,     0.8102,
   152.0000,     1.9916,     4.1237,     2.2407,     1.1771,     0.0000,     1.0636,     1.0729,     0.5408,     0.3330,     1.0041,     0.3065,     0.1322,     0.4649,   166.1971,   165.3638,     0.8072,
   153.0000,     2.0173,     5.2887,     2.3757,     1.2343,     0.0000,     1.1414,     0.9537,     0.4793,     0.3379,     1.0218,     0.3118,     0.1345,     0.5697,   167.8866,   167.4925,     0.8043,
   154.0000,     2.0450,     5.7068,     2.5596,     1.3172,     0.0000,     1.2424,     0.9660,     0.4842,     0.3257,     0.9880,     0.3015,     0.1301,     0.8143,   169.7916,   169.7969,     0.8013,
   155.0000,     2.0928,     6.1392,     3.6319,     2.0697,     0.0000,     1.5621,     1.0637,     0.5318,     0.3630,     1.1041,     0.3369,     0.1453,     1.6825,   172.3972,   173.7593,     0.7984,
   156.0000,     2.1358,     7.1434,     3.3356,     1.9011,     0.0000,     1.4345,     1.0537,     0.5227,     0.3459,     1.0554,     0.3221,     0.1389,     1.4733,   174.7055,   177.3337,     0.7955,
   157.0000,     2.1754,     3.9650,     3.1892,     1.7765,     0.0000,     1.4126,     1.2997,     0.6402,     0.3505,     1.0726,     0.3273,     0.1412,     1.2976,   176.9531,   180.6193,     0.7926,
   158.0000,     2.2122,     4.7183,     3.0743,     1.6791,     0.0000,     1.3951,     1.2710,     0.6226,     0.3531,     1.0836,     0.3306,     0.1426,     1.1643,   179.1500,   183.6773,     0.7897,
   159.0000,     2.2530,     5.2552,     3.2992,     1.8313,     0.0000,     1.4680,     1.1835,     0.5772,     0.3665,     1.1282,     0.3442,     0.1485,     1.3118,   181.4973,   187.0610,     0.7868,
   160.0000,     2.2984,     6.7190,     3.6906,     2.0124,     0.0000,     1.6782,     1.2110,     0.5875,     0.3742,     1.1556,     0.3526,     0.1521,     1.6561,   184.2996,   190.8333,     0.7839,
   161.0000,     2.3438,     6.9024,     3.7589,     2.0169,     0.0000,     1.7420,     1.3811,     0.6669,     0.3663,     1.1348,     0.3462,     0.1493,     1.7623,   187.2290,   194.6018,     0.7811,
   162.0000,     2.3820,     4.9030,     3.3230,     1.7548,     0.0000,     1.5682,     1.5539,     0.7475,     0.3778,     1.1740,     0.3582,     0.1545,     1.2586,   189.7566,   197.7763,     0.7782,
   163.0000,     2.4182,     4.9834,     3.1867,     1.6826,     0.0000,     1.5041,     1.4761,     0.7081,     0.3976,     1.2396,     0.3782,     0.1631,     1.0082,   192.1287,   200.7793,     0.7754,
   164.0000,     2.4540,     5.7582,     3.1330,     1.6758,     0.0000,     1.4572,     1.2509,     0.5985,     0.3970,     1.2421,     0.3789,     0.1635,     0.9516,   194.3840,   203.7563,     0.7725,
   165.0000,     2.4868,     6.8862,     2.9731,     1.5644,     0.0000,     1.4087,     1.1336,     0.5407,     0.3707,     1.1640,     0.3551,     0.1532,     0.9301,   196.5199,   206.4758,     0.7697,
   166.0000,     2.5316,     5.0181,     3.5692,     2.0219,     0.0000,     1.5473,     1.4172,     0.6744,     0.3797,     1.1957,     0.3647,     0.1574,     1.4717,   198.9526,   210.1983,     0.7669,
   167.0000,     2.5724,     5.5604,     3.3963,     1.8764,     0.0000,     1.5199,     1.3903,     0.6580,     0.3915,     1.2372,     0.3774,     0.1628,     1.2273,   201.3116,   213.5850,     0.7641,
   168.0000,     2.6077,     6.2025,     3.0881,     1.6759,     0.0000,     1.4122,     1.1408,     0.5376,     0.3700,     1.1730,     0.3578,     0.1544,     1.0330,   203.4191,   216.5154,     0.7613,
   169.0000,     2.6437,     6.2875,     3.2035,     1.7084,     0.0000,     1.4951,     1.2108,     0.5688,     0.3680,     1.1703,     0.3569,     0.1540,     1.1542,   205.6997,   219.5070,     0.7585,
   170.0000,     2.6802,     5.9920,     3.2966,     1.7310,     0.0000,     1.5656,     1.3805,     0.6468,     0.3666,     1.1695,     0.3567,     0.1539,     1.2500,   208.1251,   222.5377,     0.7558,
   171.0000,     2.7151,     5.5161,     3.2386,     1.6760,     0.0000,     1.5627,     1.5432,     0.7216,     0.3730,     1.1937,     0.3640,     0.1571,     1.1507,   210.5313,   225.4355,     0.7530,
   172.0000,     2.7477,     7.3328,     3.1129,     1.5928,     0.0000,     1.5201,     1.3036,     0.6087,     0.3633,     1.1661,     0.3556,     0.1534,     1.0744,   212.8303,   228.1387,     0.7503,
   173.0000,     2.7790,     5.6505,     3.0629,     1.5485,     0.0000,     1.5143,     1.6037,     0.7481,     0.3571,     1.1497,     0.3506,     0.1513,     1.0542,   215.1044,   230.7339,     0.7475,
   174.0000,     2.8077,     4.8786,     2.9251,     1.4597,     0.0000,     1.4654,     1.7843,     0.8317,     0.3631,     1.1726,     0.3576,     0.1543,     0.8776,   217.2579,   233.1230,     0.7448,
   175.0000,     2.8334,     4.8975,     2.7297,     1.3456,     0.0000,     1.3841,     1.7084,     0.7961,     0.3729,     1.2078,     0.3683,     0.1589,     0.6218,   219.2195,   235.2508,     0.7421,
   176.0000,     2.8573,     6.0728,     2.6379,     1.2873,     0.0000,     1.3507,     1.4577,     0.6792,     0.3787,     1.2304,     0.3752,     0.1619,     0.4917,   221.0966,   237.2416,     0.7394,
   177.0000,     2.8795,     7.0317,     2.5298,     1.2238,     0.0000,     1.3060,     1.3445,     0.6265,     0.3611,     1.1767,     0.3588,     0.1548,     0.4784,   222.8647,   239.0845,     0.7367,
   178.0000,     2.9021,     6.3605,     2.5826,     1.2389,     0.0000,     1.3437,     1.5236,     0.7101,     0.3455,     1.1293,     0.3443,     0.1486,     0.6150,   224.7074,   240.9542,     0.7340,
   179.0000,     2.9249,     6.4116,     2.6332,     1.2529,     0.0000,     1.3804,     1.6405,     0.7649,     0.3377,     1.1068,     0.3374,     0.1456,     0.7058,   226.6218,   242.8480,     0.7313,
   180.0000,     2.9480,     5.8007,     2.6845,     1.2668,     0.0000,     1.4177,     1.8316,     0.8546,     0.3339,     1.0974,     0.3346,     0.1444,     0.7742,   228.6092,   244.7657,     0.7286,
   181.0000,     2.9692,     5.7286,     2.5656,     1.2008,     0.0000,     1.3649,     1.8644,     0.8707,     0.3387,     1.1159,     0.3402,     0.1468,     0.6241,   230.4689,   246.5302,     0.7259,
   182.0000,     3.0274,     7.7265,     4.7901,     2.5876,     0.0000,     2.2024,     1.6223,     0.7583,     0.3915,     1.2935,     0.3944,     0.1702,     2.5405,   234.1801,   251.3589,     0.7233,
   183.0000,     3.0838,     7.1512,     4.7316,     2.5305,     0.0000,     2.2012,     2.0291,     0.9452,     0.3804,     1.2609,     0.3844,     0.1659,     2.5400,   237.8690,   256.0434,     0.7207,
   184.0000,     3.1484,     5.1455,     5.0058,     2.8450,     0.0000,     2.1608,     2.3110,     1.0735,     0.4356,     1.4483,     0.4415,     0.1906,     2.4898,   241.4490,   261.4072,     0.7180,
   185.0000,     3.1937,     5.5203,     3.8666,     2.1291,     0.0000,     1.7375,     1.8345,     0.8472,     0.4311,     1.4389,     0.4386,     0.1893,     1.3687,   244.0697,   265.1663,     0.7154,
   186.0000,     3.2301,     5.8735,     3.4161,     1.8029,     0.0401,     1.5732,     1.4665,     0.6749,     0.4320,     1.4474,     0.4412,     0.1904,     0.9050,   246.3114,   268.1895,     0.8015,
   187.0000,     3.2605,     6.0514,     3.1915,     1.5818,     0.1268,     1.4829,     1.4360,     0.6594,     0.4250,     1.4292,     0.4357,     0.1880,     0.7136,   248.3409,   270.7121,     1.0793,
   188.0000,     3.2885,     5.9248,     3.1929,     1.4981,     0.1997,     1.4951,     1.4521,     0.6661,     0.4260,     1.4378,     0.4383,     0.1892,     0.7016,   250.3869,   273.0401,     1.5176,
   189.0000,     3.3128,     5.5285,     3.0616,     1.3635,     0.2544,     1.4436,     1.5916,     0.7298,     0.4339,     1.4697,     0.4480,     0.1934,     0.5167,   252.3078,   275.0617,     2.0753,
   190.0000,     3.3328,     5.4349,     2.8295,     1.2028,     0.2845,     1.3422,     1.5503,     0.7110,     0.4420,     1.5028,     0.4580,     0.1977,     0.2290,   253.9933,   276.7201,     2.6977,
   191.0000,     3.3500,     5.3575,     2.6957,     1.0997,     0.3088,     1.2873,     1.5632,     0.7174,     0.4461,     1.5227,     0.4641,     0.2003,     0.0625,   255.5480,   278.1440,     3.3716,
   192.0000,     3.3640,     5.2568,     2.5074,     0.9860,     0.3168,     1.2046,     1.5605,     0.7169,     0.4523,     1.5499,     0.4724,     0.2039,    -0.1712,   256.9109,   279.3111,     4.0607,
   193.0000,     3.3767,     5.1510,     2.4635,     0.9376,     0.3346,     1.1912,     1.5707,     0.7224,     0.4667,     1.6057,     0.4894,     0.2113,    -0.3096,   258.2370,   280.3668,     4.7869,
   194.0000,     3.3873,     5.7764,     2.3234,     0.8588,     0.3352,     1.1294,     1.3348,     0.6147,     0.4580,     1.5822,     0.4822,     0.2082,    -0.4071,   259.4187,   281.2442,     5.5116,
   195.0000,     3.3967,     5.4859,     2.2636,     0.8147,     0.3422,     1.1067,     1.5119,     0.6973,     0.4388,     1.5220,     0.4638,     0.2002,    -0.3613,   260.5439,   282.0207,     6.2491,
   196.0000,     3.4047,     4.9170,     2.1860,     0.7667,     0.3436,     1.0757,     1.7200,     0.7945,     0.4495,     1.5651,     0.4769,     0.2059,    -0.5115,   261.5944,   282.6880,     6.9870,
   197.0000,     3.4107,     4.8681,     2.0160,     0.6908,     0.3270,     0.9982,     1.6795,     0.7771,     0.4443,     1.5533,     0.4733,     0.2044,    -0.6593,   262.4671,   283.1848,     7.6856,
   198.0000,     3.4160,     4.8279,     1.9753,     0.6670,     0.3278,     0.9805,     1.5553,     0.7208,     0.4463,     1.5663,     0.4773,     0.2061,    -0.7206,   263.2961,   283.6273,     8.3833,
   199.0000,     3.4205,     4.5055,     1.9091,     0.6372,     0.3231,     0.9488,     1.6766,     0.7782,     0.4432,     1.5616,     0.4758,     0.2054,    -0.7769,   264.0501,   284.0021,     9.0680,
   200.0000,     3.4228,     4.0638,     1.6894,     0.5527,     0.2904,     0.8463,     1.8609,     0.8651,     0.4497,     1.5909,     0.4847,     0.2093,    -1.0452,   264.5726,   284.1885,     9.6779,
   201.0000,     3.4237,     3.9529,     1.5589,     0.5052,     0.2700,     0.7837,     1.6665,     0.7757,     0.4627,     1.6432,     0.5007,     0.2162,    -1.2639,   264.9532,   284.2690,    10.2403,
   202.0000,     3.4238,     4.1582,     1.4667,     0.4721,     0.2547,     0.7398,     1.4584,     0.6797,     0.4681,     1.6696,     0.5087,     0.2197,    -1.3994,   265.2344,   284.2759,    10.7669,
   203.0000,     3.4233,     4.3144,     1.4067,     0.4504,     0.2442,     0.7121,     1.4308,     0.6675,     0.4558,     1.6324,     0.4974,     0.2148,    -1.3936,   265.4527,   284.2346,    11.2682,
   204.0000,     3.4225,     4.6060,     1.3798,     0.4398,     0.2389,     0.7011,     1.3522,     0.6314,     0.4410,     1.5861,     0.4832,     0.2087,    -1.3392,   265.6454,   284.1700,    11.7561,
   205.0000,     3.4249,     4.8928,     1.7108,     0.5575,     0.2955,     0.8578,     1.4045,     0.6565,     0.4357,     1.5730,     0.4793,     0.2070,    -0.9841,   266.1853,   284.3662,    12.3674,
   206.0000,     3.4272,     5.2933,     1.7346,     0.5569,     0.3019,     0.8758,     1.4917,     0.6982,     0.4153,     1.5055,     0.4587,     0.1981,    -0.8430,   266.7623,   284.5605,    12.9907,
   207.0000,     3.4284,     4.6449,     1.6257,     0.5137,     0.2850,     0.8271,     1.7719,     0.8305,     0.4153,     1.5106,     0.4602,     0.1988,    -0.9591,   267.2281,   284.6583,    13.5742,
   208.0000,     3.4281,     5.4009,     1.4655,     0.4574,     0.2577,     0.7504,     1.4010,     0.6576,     0.3610,     1.3179,     0.4015,     0.1734,    -0.7884,   267.5212,   284.6312,    14.0952,
   209.0000,     3.4280,     5.6354,     1.5064,     0.4664,     0.2643,     0.7758,     1.5621,     0.7341,     0.3513,     1.2862,     0.3918,     0.1692,    -0.6921,   267.8691,   284.6239,    14.6289,
   210.0000,     3.4402,     5.4611,     2.7515,     0.9253,     0.4843,     1.3419,     1.6367,     0.7702,     0.3860,     1.4172,     0.4317,     0.1865,     0.3301,   269.4734,   285.6330,    15.6477,
   211.0000,     3.4502,     6.0678,     2.6036,     0.8484,     0.4774,     1.2778,     1.7599,     0.8302,     0.3739,     1.3772,     0.4196,     0.1812,     0.2517,   270.9269,   286.4681,    16.6475,
   212.0000,     3.4583,     5.2282,     2.4475,     0.7742,     0.4632,     1.2101,     2.0922,     0.9893,     0.3725,     1.3763,     0.4193,     0.1811,     0.0983,   272.2223,   287.1358,    17.6123,
   213.0000,     3.4637,     4.7181,     2.1976,     0.6768,     0.4260,     1.0948,     2.2537,     1.0683,     0.3866,     1.4328,     0.4365,     0.1885,    -0.2468,   273.2547,   287.5854,    18.4911,
   214.0000,     3.4664,     4.7318,     1.9121,     0.5764,     0.3763,     0.9594,     1.9752,     0.9384,     0.3970,     1.4760,     0.4497,     0.1942,    -0.6048,   273.9808,   287.8111,    19.2567,
   215.0000,     3.4669,     4.8114,     1.6720,     0.4955,     0.3313,     0.8453,     1.7752,     0.8450,     0.3857,     1.4389,     0.4383,     0.1893,    -0.7802,   274.4496,   287.8569,    19.9199,
   216.0000,     3.4659,     4.2567,     1.4940,     0.4367,     0.2961,     0.7612,     1.9510,     0.9301,     0.3924,     1.4688,     0.4475,     0.1933,    -1.0080,   274.7293,   287.7723,    20.5026,
   217.0000,     3.4632,     4.1381,     1.2871,     0.3722,     0.2539,     0.6609,     1.6710,     0.7976,     0.4035,     1.5152,     0.4616,     0.1994,    -1.2926,   274.7846,   287.5439,    20.9898,
   218.0000,     3.4590,     4.0216,     1.1099,     0.3186,     0.2169,     0.5745,     1.5972,     0.7632,     0.3936,     1.4833,     0.4519,     0.1952,    -1.4141,   274.6475,   287.1785,    21.3917,
   219.0000,     3.4542,     4.0894,     1.0473,     0.3004,     0.2018,     0.5450,     1.5306,     0.7319,     0.3976,     1.5034,     0.4580,     0.1979,    -1.5096,   274.4458,   286.7422,    21.7565,
   220.0000,     3.4486,     4.1681,     1.0062,     0.2894,     0.1908,     0.5261,     1.4470,     0.6925,     0.3897,     1.4782,     0.4503,     0.1945,    -1.5064,   274.2031,   286.2497,    22.0928,
   221.0000,     3.4424,     3.8326,     0.9648,     0.2783,     0.1796,     0.5069,     1.6188,     0.7754,     0.3823,     1.4549,     0.4432,     0.1915,    -1.5071,   273.9190,   285.6823,    22.3989,
   222.0000,     3.4353,     4.0800,     0.9152,     0.2652,     0.1667,     0.4833,     1.5626,     0.7492,     0.3766,     1.4374,     0.4379,     0.1892,    -1.5258,   273.5840,   285.0230,    22.6701,
   223.0000,     3.4270,     3.9725,     0.8614,     0.2510,     0.1530,     0.4573,     1.4552,     0.6984,     0.3565,     1.3643,     0.4156,     0.1796,    -1.4546,   273.1931,   284.2474,    22.9027,
   224.0000,     3.4174,     3.7178,     0.8174,     0.2400,     0.1409,     0.4366,     1.5747,     0.7567,     0.3339,     1.2810,     0.3902,     0.1686,    -1.3564,   272.7582,   283.3366,    23.0980,
   225.0000,     3.4249,     4.4760,     2.6751,     0.9313,     0.4484,     1.2954,     1.2691,     0.6108,     0.4048,     1.5555,     0.4739,     0.2047,     0.0361,   274.2340,   284.3636,    24.0065,
   226.0000,     3.4367,     7.0527,     2.6886,     0.9125,     0.4627,     1.3133,     1.3517,     0.6518,     0.3374,     1.3012,     0.3964,     0.1713,     0.4823,   275.7421,   285.3453,    24.9433,
   227.0000,     3.4493,     6.4631,     2.8646,     0.9419,     0.5134,     1.4094,     1.6504,     0.7974,     0.3310,     1.2800,     0.3899,     0.1685,     0.6952,   277.4557,   286.3884,    25.9888,
   228.0000,     3.4598,     5.3574,     2.7261,     0.8676,     0.5087,     1.3498,     1.8659,     0.9039,     0.3476,     1.3476,     0.4105,     0.1774,     0.4430,   279.0282,   287.2631,    27.0202,
   229.0000,     3.4669,     4.5273,     2.4015,     0.7413,     0.4626,     1.1976,     2.1158,     1.0276,     0.3586,     1.3939,     0.4246,     0.1835,     0.0410,   280.2542,   287.8549,    27.9459,
   230.0000,     3.4705,     4.1422,     2.0162,     0.6073,     0.3963,     1.0125,     1.7816,     0.8673,     0.3585,     1.3976,     0.4258,     0.1840,    -0.3496,   281.0625,   288.1481,    28.7213,
   231.0000,     3.4716,     4.0800,     1.7479,     0.5170,     0.3467,     0.8842,     1.6955,     0.8269,     0.3549,     1.3875,     0.4227,     0.1827,    -0.5997,   281.5814,   288.2401,    29.3840,
   232.0000,     3.4708,     3.9502,     1.5375,     0.4484,     0.3055,     0.7836,     1.4855,     0.7256,     0.3504,     1.3738,     0.4185,     0.1809,    -0.7860,   281.8742,   288.1799,    29.9531,
   233.0000,     3.4684,     3.7023,     1.3280,     0.3827,     0.2629,     0.6824,     1.4854,     0.7264,     0.3434,     1.3504,     0.4114,     0.1778,    -0.9550,   281.9405,   287.9746,    30.4257,
   234.0000,     3.4650,     3.7564,     1.2210,     0.3488,     0.2396,     0.6326,     1.4750,     0.7220,     0.3662,     1.4438,     0.4399,     0.1901,    -1.2190,   281.8959,   287.6948,    30.8451,
   235.0000,     3.4606,     3.8161,     1.0923,     0.3099,     0.2119,     0.5705,     1.4285,     0.6998,     0.3615,     1.4298,     0.4356,     0.1882,    -1.3229,   281.7136,   287.3269,    31.2013,
   236.0000,     3.4553,     3.0766,     0.9768,     0.2758,     0.1867,     0.5143,     1.5430,     0.7564,     0.3639,     1.4435,     0.4398,     0.1901,    -1.4604,   281.4073,   286.8573,    31.4973,
   237.0000,     3.4502,     3.2794,     1.0331,     0.2970,     0.1943,     0.5419,     1.3788,     0.6763,     0.3669,     1.4598,     0.4447,     0.1922,    -1.4305,   281.1640,   286.4648,    31.8122,
   238.0000,     3.4447,     3.5709,     0.9336,     0.2673,     0.1725,     0.4938,     1.2738,     0.6251,     0.3509,     1.4001,     0.4265,     0.1844,    -1.4282,   280.8152,   285.9844,    32.0751,
   239.0000,     3.4559,     4.0228,     2.6232,     0.9025,     0.4816,     1.2392,     1.1204,     0.5501,     0.4174,     1.6702,     0.5088,     0.2199,    -0.1931,   282.1246,   286.9378,    33.0242,
   240.0000,     3.4649,     5.2872,     2.4552,     0.8127,     0.4667,     1.1759,     1.2395,     0.6094,     0.3804,     1.5282,     0.4656,     0.2012,    -0.1202,   283.2864,   287.6891,    33.9367,
   241.0000,     3.4713,     5.0106,     2.2287,     0.7137,     0.4350,     1.0801,     1.1935,     0.5876,     0.3555,     1.4329,     0.4365,     0.1887,    -0.1849,   284.2293,   288.2183,    34.7759,
   242.0000,     3.4764,     5.6035,     2.1346,     0.6661,     0.4240,     1.0445,     1.1162,     0.5504,     0.3142,     1.2701,     0.3870,     0.1673,    -0.0041,   285.0882,   288.6403,    35.5877,
   243.0000,     3.4818,     5.7195,     2.2314,     0.6810,     0.4492,     1.1011,     1.2242,     0.6046,     0.3045,     1.2336,     0.3758,     0.1625,     0.1550,   286.0686,   289.0937,    36.4523,
